,Symbol,Year,Altman Z-Score,Bankruptcy Likelihood
1018,NDAQ,2012,1.3783,bankruptcy imminent
1019,NDAQ,2014,1.44143,bankruptcy imminent
1020,NDAQ,2015,1.64952,bankruptcy imminent
1021,KLAC,2013,5.03165,safe
1022,KLAC,2015,2.41243,grey zone
1023,KLAC,2014,5.84322,safe
1024,KLAC,2016,3.10501,safe
1025,ABBV,2013,3.39533,safe
1026,ABBV,2015,1.94039,grey zone
1027,ABBV,2014,3.30571,safe
1028,DLTR,2013,8.09236,safe
1029,DLTR,2015,7.79228,safe
1030,DLTR,2014,6.82651,safe
1031,DLTR,2016,1.7081,bankruptcy imminent
1032,COST,2013,2.57328,grey zone
1033,COST,2015,2.6514,grey zone
1034,COST,2014,2.63083,grey zone
1035,COST,2016,3.09412,safe
1036,APD,2013,2.25164,grey zone
1037,APD,2015,2.70668,grey zone
1038,APD,2014,2.61926,grey zone
1039,APD,2016,2.97915,grey zone
1040,SRCL,2013,3.97607,safe
1041,SRCL,2012,3.53427,safe
1042,SRCL,2014,3.81083,safe
1043,SRCL,2015,2.19941,grey zone
1044,TRV,2013,0.78907,bankruptcy imminent
1045,TRV,2015,0.90442,bankruptcy imminent
1046,TRV,2014,0.86029,bankruptcy imminent
1047,FAST,2013,31.37816,safe
1048,FAST,2015,12.92607,safe
1049,FAST,2014,22.32988,safe
1050,FTR,2013,0.25643,bankruptcy imminent
1051,FTR,2012,0.42493,bankruptcy imminent
1052,FTR,2014,0.56484,bankruptcy imminent
1053,FTR,2015,0.66125,bankruptcy imminent
1054,UNH,2013,1.86699,grey zone
1055,UNH,2015,1.66284,bankruptcy imminent
1056,UNH,2014,2.03427,grey zone
1057,AWK,2013,0.39182,bankruptcy imminent
1058,AWK,2012,0.34077,bankruptcy imminent
1059,AWK,2014,0.51387,bankruptcy imminent
1060,AWK,2015,0.54238,bankruptcy imminent
1061,EQT,2013,2.11206,grey zone
1062,EQT,2015,1.11148,bankruptcy imminent
1063,EQT,2014,1.62663,bankruptcy imminent
1064,AVB,2013,1.39405,bankruptcy imminent
1065,AVB,2012,1.96942,grey zone
1066,AVB,2014,2.03533,grey zone
1067,AVB,2015,2.28965,grey zone
1068,TSCO,2013,12.76051,safe
1069,TSCO,2012,5.71473,safe
1070,TSCO,2014,11.98324,safe
1071,TSCO,2015,10.33136,safe
1072,ES,2013,0.71531,bankruptcy imminent
1073,ES,2012,0.52864,bankruptcy imminent
1074,ES,2014,0.83027,bankruptcy imminent
1075,ES,2015,0.82351,bankruptcy imminent
1076,NTRS,2013,0.26265,bankruptcy imminent
1077,NTRS,2012,0.25104,bankruptcy imminent
1078,NTRS,2014,0.26362,bankruptcy imminent
1079,NTRS,2015,0.26944,bankruptcy imminent
1080,MO,2013,3.32253,safe
1081,MO,2012,2.86157,grey zone
1082,MO,2014,3.79553,safe
1083,MO,2015,4.43482,safe
1084,SNA,2016,5.21444,safe
1085,SNA,2015,4.20128,safe
1086,HBI,2013,1.80237,bankruptcy imminent
1087,HBI,2015,1.68962,bankruptcy imminent
1088,HBI,2016,2.91252,grey zone
1089,MAR,2013,2.34528,grey zone
1090,MAR,2015,2.74328,grey zone
1091,MAR,2014,2.80588,grey zone
1092,DISCA,2013,2.04352,grey zone
1093,DISCA,2014,6.8358,safe
1094,STX,2013,2.62375,grey zone
1095,STX,2015,2.13512,grey zone
1096,STX,2014,2.44481,grey zone
1097,STX,2016,0.36599,bankruptcy imminent
1098,MAC,2013,0.84853,bankruptcy imminent
1099,MAC,2012,0.7965,bankruptcy imminent
1100,MAC,2014,1.46271,bankruptcy imminent
1101,MAC,2015,1.34826,bankruptcy imminent
1102,FLS,2013,3.93314,safe
1103,FLS,2015,2.81244,grey zone
1104,FLS,2014,3.61602,safe
1105,DLR,2013,0.90637,bankruptcy imminent
1106,DLR,2012,1.22733,bankruptcy imminent
1107,DLR,2014,1.55332,bankruptcy imminent
1108,DLR,2015,1.39598,bankruptcy imminent
1109,STT,2013,0.23305,bankruptcy imminent
1110,STT,2015,0.23757,bankruptcy imminent
1111,STT,2014,0.2176,bankruptcy imminent
1112,LNT,2013,0.60478,bankruptcy imminent
1113,LNT,2012,0.60136,bankruptcy imminent
1114,LNT,2014,0.65484,bankruptcy imminent
1115,LNT,2015,0.61288,bankruptcy imminent
1116,WFC,2013,0.3045,bankruptcy imminent
1117,WFC,2012,0.27473,bankruptcy imminent
1118,WFC,2014,0.31016,bankruptcy imminent
1119,WFC,2015,0.3016,bankruptcy imminent
1120,IBM,2013,3.45875,safe
1121,IBM,2012,3.57319,safe
1122,IBM,2014,3.40939,safe
1123,IBM,2015,3.44935,safe
1124,AEP,2013,0.70261,bankruptcy imminent
1125,AEP,2012,0.66885,bankruptcy imminent
1126,AEP,2014,0.7649,bankruptcy imminent
1127,JNPR,2013,2.43757,grey zone
1128,JNPR,2012,2.23465,grey zone
1129,JNPR,2014,1.47634,bankruptcy imminent
1130,JNPR,2015,1.61079,bankruptcy imminent
1131,UAL,2013,0.5249,bankruptcy imminent
1132,UAL,2012,0.27271,bankruptcy imminent
1133,UAL,2014,0.77391,bankruptcy imminent
1134,UAL,2015,1.23076,bankruptcy imminent
1135,FIS,2013,1.92899,grey zone
1136,FIS,2012,1.50451,bankruptcy imminent
1137,FIS,2014,2.06375,grey zone
1138,FIS,2015,1.04238,bankruptcy imminent
1139,AAL,2013,-0.10242,bankruptcy imminent
1140,AAL,2012,-0.25591,bankruptcy imminent
1141,AAL,2014,1.02814,bankruptcy imminent
1142,AAL,2015,1.0856,bankruptcy imminent
1143,ALK,2013,1.59816,bankruptcy imminent
1144,ALK,2012,1.17762,bankruptcy imminent
1145,ALK,2014,2.56678,grey zone
1146,ALK,2015,3.07139,safe
1147,ED,2013,0.54769,bankruptcy imminent
1148,ED,2015,0.54324,bankruptcy imminent
1149,ED,2014,0.57818,bankruptcy imminent
1150,YUM,2013,3.31814,safe
1151,YUM,2012,3.18734,safe
1152,YUM,2014,3.02702,safe
1153,YUM,2015,2.93234,grey zone
1154,XRX,2013,1.37324,bankruptcy imminent
1155,XRX,2012,1.04868,bankruptcy imminent
1156,XRX,2014,1.49831,bankruptcy imminent
1157,XRX,2015,1.28041,bankruptcy imminent
1158,ORLY,2013,3.30868,safe
1159,ORLY,2012,3.06453,safe
1160,ORLY,2014,3.91122,safe
1161,ORLY,2015,4.50443,safe
1162,COO,2013,6.42633,safe
1163,COO,2014,3.47334,safe
1164,COO,2016,4.03003,safe
1165,DNB,2013,4.19256,safe
1166,DNB,2012,3.58523,safe
1167,DNB,2014,3.88382,safe
1168,DNB,2015,3.48174,safe
1169,UHS,2013,2.71431,grey zone
1170,UHS,2012,2.17018,grey zone
1171,UHS,2014,3.08809,safe
1172,UHS,2015,3.25366,safe
1173,PCAR,2013,1.94162,grey zone
1174,PCAR,2012,1.70685,bankruptcy imminent
1175,PCAR,2014,2.25931,grey zone
1176,PCAR,2015,1.90584,grey zone
1177,KMX,2013,1.56526,bankruptcy imminent
1178,KMX,2015,1.53716,bankruptcy imminent
1179,KMX,2014,1.52483,bankruptcy imminent
1180,KMX,2016,1.08198,bankruptcy imminent
1181,RRC,2013,1.93482,grey zone
1182,RRC,2012,1.58591,bankruptcy imminent
1183,RRC,2014,1.65522,bankruptcy imminent
1184,RRC,2015,0.27319,bankruptcy imminent
1185,VAR,2013,4.40471,safe
1186,VAR,2015,3.80172,safe
1187,VAR,2014,4.46335,safe
